"Type","Name","File","Line"
"Namespace","API","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Program.cs","14"
"class","Program","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Program.cs","16"
"DIRegistration","builder.Services.AddScoped<IAuthService, AuthService>();","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Program.cs","52"
"DIRegistration","builder.Services.AddScoped<IVehicleService, VehicleService>();","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Program.cs","53"
"DIRegistration","builder.Services.AddScoped<ILanCameraDiscoveryService, LanCameraDiscoveryService>();","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Program.cs","54"
"DIRegistration","builder.Services.AddScoped<StaticVisitorQrService>();","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Program.cs","55"
"DIRegistration","builder.Services.AddSingleton<RuntimeOrchestrator>();","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Program.cs","56"
"DIRegistration","builder.Services.AddHostedService<RuntimeAutoStartHostedService>();","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Program.cs","57"
"EndpointMap","app.MapGet(""/health"", () => Results.Ok(new { status = ""ok"", service = ""v-shield-api"" }));","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Program.cs","155"
"Namespace","API","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\WeatherForecast.cs","1"
"class","WeatherForecast","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\WeatherForecast.cs","3"
"Namespace","API.Controllers","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AccessLogsController.cs","6"
"class","AccessLogsController","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AccessLogsController.cs","11"
"RouteAttribute","[HttpGet]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AccessLogsController.cs","21"
"RouteAttribute","[HttpGet(""summary"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AccessLogsController.cs","97"
"RouteAttribute","[HttpGet(""exceptions"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AccessLogsController.cs","140"
"RouteAttribute","[HttpGet(""{id:int}"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AccessLogsController.cs","212"
"Namespace","API.Controllers","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AccessPermissionController.cs","9"
"class","AccessPermissionController","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AccessPermissionController.cs","13"
"RouteAttribute","[HttpPost(""set-permission"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AccessPermissionController.cs","22"
"Namespace","API.Controllers","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AuthController.cs","8"
"class","AuthController","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AuthController.cs","12"
"RouteAttribute","[HttpPost(""login"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AuthController.cs","24"
"RouteAttribute","[HttpGet(""me"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\AuthController.cs","40"
"Namespace","API.Controllers","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\BienSoController.cs","6"
"class","BienSoController","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\BienSoController.cs","10"
"RouteAttribute","[HttpGet(""cameras"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\BienSoController.cs","23"
"RouteAttribute","[HttpGet(""plates"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\BienSoController.cs","40"
"RouteAttribute","[HttpGet(""plate"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\BienSoController.cs","64"
"RouteAttribute","[HttpGet(""camera-plates"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\BienSoController.cs","80"
"Namespace","API.Controllers","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\BiometricsController.cs","6"
"class","BiometricsController","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\BiometricsController.cs","11"
"RouteAttribute","[HttpGet(""overview"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\BiometricsController.cs","20"
"Namespace","API.Controllers","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\DashboardController.cs","6"
"class","DashboardController","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\DashboardController.cs","11"
"RouteAttribute","[HttpGet(""overview"")]","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\DashboardController.cs","20"
"Namespace","API.Controllers","C:\DoAnTotNghiep\V-Shield-2.0\API\API\API\Controllers\DepartmentsController.cs","8"
