"Name","Kind","File","Line"
"get_font","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","462"
"normalize_ui_text","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","473"
"bgr_to_rgb","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","499"
"action_key","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","505"
"adjust_action_score","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","513"
"pick_first_existing","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","529"
"adaptive_infer_size","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","536"
"gamma_lut","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","549"
"clahe_filter","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","556"
"person_pose_profile","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","563"
"kp_min_conf","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","567"
"min_valid_all","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","568"
"min_valid_upper","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","569"
"fallback_box_conf","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","570"
"kp_min_conf","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","574"
"min_valid_all","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","575"
