"Name","ReferenceCount","FileCount","SampleRefs"
"get_font","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"normalize_ui_text","18","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"bgr_to_rgb","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"action_key","12","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"adjust_action_score","14","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"pick_first_existing","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"adaptive_infer_size","7","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"gamma_lut","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"clahe_filter","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"person_pose_profile","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"PersonState","10","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"draw_unicode_texts","6","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt"
"draw_box","8","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"preprocess_low_light","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"save_snapshot","7","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"save_debug_alert_snapshot","6","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"_build_fire_smoke_engine_class","6","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv"
"roi_flicker_score","5","1","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt"
"clamp","25","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"box_iou","7","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"box_centroid","11","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"roi_motion","4","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"roi_texture_score","4","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"roi_blur_score","4","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"extract_edge_features","4","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"fire_color_score","4","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"smoke_color_score","4","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"get_class_name","4","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"fit_image_letterbox","3","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"Track","11","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_linkage_hits.txt"
"area_var","11","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv | C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py"
"__init__","37","1","C:\DoAnTotNghiep\V-Shield-2.0\analysis_source_files.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_source_files.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_symbols_unique.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_python_hits.txt | C:\DoAnTotNghiep\V-Shield-2.0\analysis_name_declarations.csv"
